Gmt time,Open,High,Low,Close,Volume
16.07.2020 07:00:00.000,1.13979,1.14107,1.13965,1.14077,15705.1904
16.07.2020 08:00:00.000,1.14074,1.14154,1.13856,1.13928,25342.5391
16.07.2020 09:00:00.000,1.13929,1.13998,1.13808,1.13808,13866.7803
16.07.2020 10:00:00.000,1.13808,1.13951,1.13781,1.13949,12284.8203
16.07.2020 11:00:00.000,1.13949,1.14172,1.13941,1.14130,13688.1201
16.07.2020 12:00:00.000,1.14130,1.14246,1.14055,1.14108,19297.9902
16.07.2020 13:00:00.000,1.14105,1.14343,1.13995,1.14288,22841
16.07.2020 14:00:00.000,1.14292,1.14417,1.14242,1.14323,26558.7793
16.07.2020 15:00:00.000,1.14324,1.14342,1.14214,1.14320,12185.96
16.07.2020 16:00:00.000,1.14321,1.14357,1.14085,1.14091,11903.2998
16.07.2020 17:00:00.000,1.14092,1.14101,1.13770,1.13827,17424.5703
16.07.2020 18:00:00.000,1.13827,1.13836,1.13751,1.13788,25768.4199
16.07.2020 19:00:00.000,1.13788,1.13837,1.13704,1.13820,15774.8604
16.07.2020 20:00:00.000,1.13820,1.13850,1.13787,1.13834,1809.4399
16.07.2020 21:00:00.000,1.13832,1.13845,1.13756,1.13818,6073.3774
16.07.2020 22:00:00.000,1.13815,1.13846,1.13799,1.13846,3435.0176
16.07.2020 23:00:00.000,1.13847,1.13887,1.13834,1.13878,2445.6299
17.07.2020 00:00:00.000,1.13877,1.13931,1.13824,1.13846,6450.7798
17.07.2020 01:00:00.000,1.13846,1.13851,1.13774,1.13810,9163.0098
17.07.2020 02:00:00.000,1.13811,1.13867,1.13797,1.13850,5105.3599
17.07.2020 03:00:00.000,1.13850,1.13924,1.13837,1.13917,4456.7998
17.07.2020 04:00:00.000,1.13916,1.13935,1.13855,1.13872,2540.6399
17.07.2020 05:00:00.000,1.13872,1.13875,1.13781,1.13797,4970.7998
17.07.2020 06:00:00.000,1.13796,1.13854,1.13779,1.13821,7236.29
17.07.2020 07:00:00.000,1.13821,1.13960,1.13796,1.13903,12104.6504
17.07.2020 08:00:00.000,1.13904,1.14175,1.13878,1.14164,10237.7197
17.07.2020 09:00:00.000,1.14162,1.14237,1.14116,1.14131,11006.2305
17.07.2020 10:00:00.000,1.14129,1.14286,1.14094,1.14283,8690.0098
17.07.2020 11:00:00.000,1.14284,1.14302,1.14205,1.14216,10861.5
17.07.2020 12:00:00.000,1.14219,1.14298,1.14162,1.14189,8480.2402
17.07.2020 13:00:00.000,1.14191,1.14343,1.14161,1.14306,13706.0195
17.07.2020 14:00:00.000,1.14306,1.14398,1.14200,1.14216,17110.9707
17.07.2020 15:00:00.000,1.14216,1.14377,1.14206,1.14369,9589.3799
17.07.2020 16:00:00.000,1.14369,1.14425,1.14297,1.14353,7475
17.07.2020 17:00:00.000,1.14353,1.14421,1.14353,1.14374,5651.2598
17.07.2020 18:00:00.000,1.14373,1.14436,1.14353,1.14368,4672.6401
17.07.2020 19:00:00.000,1.14367,1.14417,1.14340,1.14396,6301.52
17.07.2020 20:00:00.000,1.14396,1.14397,1.14227,1.14269,3176.3899
17.07.2020 21:00:00.000,1.14269,1.14269,1.14269,1.14269,0
17.07.2020 22:00:00.000,1.14269,1.14269,1.14269,1.14269,0
17.07.2020 23:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 00:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 01:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 02:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 03:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 04:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 05:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 06:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 07:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 08:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 09:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 10:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 11:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 12:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 13:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 14:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 15:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 16:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 17:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 18:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 19:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 20:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 21:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 22:00:00.000,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 23:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 00:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 01:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 02:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 03:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 04:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 05:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 06:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 07:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 08:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 09:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 10:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 11:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 12:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 13:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 14:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 15:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 16:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 17:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 18:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 19:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 20:00:00.000,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 21:00:00.000,1.14084,1.14258,1.14084,1.14183,486.1036
19.07.2020 22:00:00.000,1.14195,1.14430,1.14195,1.14354,4555.7998
19.07.2020 23:00:00.000,1.14355,1.14456,1.14353,1.14421,2636.6599
20.07.2020 00:00:00.000,1.14421,1.14421,1.14179,1.14224,5507.1401
20.07.2020 01:00:00.000,1.14224,1.14227,1.14126,1.14166,7560.5498
20.07.2020 02:00:00.000,1.14167,1.14226,1.14136,1.14177,5472.5498
20.07.2020 03:00:00.000,1.14178,1.14252,1.14145,1.14184,5282.9502
20.07.2020 04:00:00.000,1.14187,1.14423,1.14161,1.14423,5535.5
20.07.2020 05:00:00.000,1.14425,1.14558,1.14358,1.14523,9651.7998
20.07.2020 06:00:00.000,1.14525,1.14669,1.14501,1.14577,10920.6504
20.07.2020 07:00:00.000,1.14578,1.14578,1.14409,1.14556,16303.5
20.07.2020 08:00:00.000,1.14557,1.14677,1.14430,1.14575,14170.9502
20.07.2020 09:00:00.000,1.14575,1.14601,1.14510,1.14553,13480.1104
20.07.2020 10:00:00.000,1.14553,1.14610,1.14469,1.14522,13377.2998
20.07.2020 11:00:00.000,1.14522,1.14642,1.14448,1.14459,25115.4004
20.07.2020 12:00:00.000,1.14460,1.14499,1.14157,1.14183,22612.5098
20.07.2020 13:00:00.000,1.14182,1.14291,1.14023,1.14191,27129.3301
20.07.2020 14:00:00.000,1.14187,1.14442,1.14112,1.14397,26185.6504
20.07.2020 15:00:00.000,1.14397,1.14484,1.14364,1.14430,11008.8301
20.07.2020 16:00:00.000,1.14430,1.14451,1.14332,1.14385,37370.5391
20.07.2020 17:00:00.000,1.14385,1.14450,1.14336,1.14357,10689.4102
20.07.2020 18:00:00.000,1.14358,1.14431,1.14342,1.14406,4830.73
20.07.2020 19:00:00.000,1.14407,1.14482,1.14394,1.14480,5571.9102
20.07.2020 20:00:00.000,1.14478,1.14488,1.14427,1.14472,2188.47
20.07.2020 21:00:00.000,1.14472,1.14473,1.14423,1.14427,771.62
20.07.2020 22:00:00.000,1.14428,1.14474,1.14427,1.14462,1936.01
20.07.2020 23:00:00.000,1.14463,1.14586,1.14461,1.14557,2030.48
21.07.2020 00:00:00.000,1.14559,1.14639,1.14540,1.14554,6007.96
21.07.2020 01:00:00.000,1.14556,1.14620,1.14554,1.14591,11320.8096
21.07.2020 02:00:00.000,1.14592,1.14624,1.14573,1.14598,3985.5601
21.07.2020 03:00:00.000,1.14599,1.14696,1.14402,1.14453,11946.9404
21.07.2020 04:00:00.000,1.14452,1.14465,1.14228,1.14305,11726.1797
21.07.2020 05:00:00.000,1.14305,1.14436,1.14279,1.14434,6371.3301
21.07.2020 06:00:00.000,1.14434,1.14503,1.14365,1.14457,11269.9697
21.07.2020 07:00:00.000,1.14458,1.14667,1.14316,1.14426,31545.1406
21.07.2020 08:00:00.000,1.14428,1.14499,1.14289,1.14431,69783.0469
21.07.2020 09:00:00.000,1.14431,1.14472,1.14299,1.14434,14052.8398
21.07.2020 10:00:00.000,1.14435,1.14603,1.14363,1.14379,12652
21.07.2020 11:00:00.000,1.14380,1.14447,1.14315,1.14372,16766.9395
21.07.2020 12:00:00.000,1.14372,1.14523,1.14361,1.14386,13726
21.07.2020 13:00:00.000,1.14389,1.14612,1.14249,1.14592,23068.7305
21.07.2020 14:00:00.000,1.14592,1.14889,1.14512,1.14873,55962.4492
21.07.2020 15:00:00.000,1.14874,1.14951,1.14828,1.14936,30524.4199
21.07.2020 16:00:00.000,1.14936,1.15174,1.14913,1.15162,14600.9199
21.07.2020 17:00:00.000,1.15163,1.15394,1.15125,1.15335,9525.4102
21.07.2020 18:00:00.000,1.15339,1.15398,1.15268,1.15307,8373.8701
21.07.2020 19:00:00.000,1.15308,1.15345,1.15195,1.15254,11037.4199
21.07.2020 20:00:00.000,1.15253,1.15290,1.15204,1.15265,3005.74
21.07.2020 21:00:00.000,1.15268,1.15325,1.15236,1.15322,787.01
21.07.2020 22:00:00.000,1.15324,1.15343,1.15305,1.15321,2985.7549
21.07.2020 23:00:00.000,1.15324,1.15423,1.15296,1.15350,4718.5898
22.07.2020 00:00:00.000,1.15350,1.15385,1.15296,1.15310,8237.46
22.07.2020 01:00:00.000,1.15309,1.15416,1.15293,1.15396,9278.4102
22.07.2020 02:00:00.000,1.15396,1.15457,1.15343,1.15453,6285.04
22.07.2020 03:00:00.000,1.15453,1.15470,1.15395,1.15403,4842.3198
22.07.2020 04:00:00.000,1.15404,1.15416,1.15360,1.15392,3958.9099
22.07.2020 05:00:00.000,1.15389,1.15435,1.15350,1.15394,5686.4702
22.07.2020 06:00:00.000,1.15392,1.15425,1.15191,1.15316,16875.7305
22.07.2020 07:00:00.000,1.15315,1.15455,1.15077,1.15185,44717.1406
22.07.2020 08:00:00.000,1.15186,1.15319,1.15068,1.15221,65300.1484
22.07.2020 09:00:00.000,1.15222,1.15468,1.15167,1.15446,21397.2109
22.07.2020 10:00:00.000,1.15446,1.15836,1.15419,1.15685,33961.5508
22.07.2020 11:00:00.000,1.15686,1.15806,1.15562,1.15783,20509.9902
22.07.2020 12:00:00.000,1.15783,1.16000,1.15710,1.15956,17955.8906
22.07.2020 13:00:00.000,1.15956,1.16013,1.15779,1.15905,61832.4297
22.07.2020 14:00:00.000,1.15906,1.15951,1.15708,1.15935,81700.5469
22.07.2020 15:00:00.000,1.15936,1.15938,1.15782,1.15868,16847.4609
22.07.2020 16:00:00.000,1.15868,1.15898,1.15737,1.15771,17612.1406
